longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room
-121.89,37.29,38.0,1568.0,351.0,710.0,339.0,2.7042,-0.07773596938775511,0.02423469387755102,-0.3059315776519813
-121.93,37.05,14.0,679.0,108.0,306.0,113.0,6.4214,-0.17957290132547865,0.020618556701030927,-0.30386287213975227
-117.2,32.77,31.0,1952.0,471.0,936.0,462.0,2.8621,-0.06004098360655738,0.015881147540983607,-0.2796075085324232
-119.61,36.31,25.0,1847.0,371.0,1460.0,353.0,1.8839,-0.0647590687601516,0.01353546291283162,-0.3035699356241117
-118.59,34.23,17.0,6592.0,1525.0,4459.0,1463.0,3.0347,-0.01798998786407767,0.0025788834951456312,-0.2886415380723501
-120.97,37.66,24.0,2930.0,588.0,1448.0,570.0,3.5395,-0.04128668941979522,0.008191126279863481,-0.3113168554186988
-118.5,34.04,52.0,2233.0,317.0,769.0,277.0,8.3839,-0.05306762203313928,0.02328705776981639,-0.28725738396624473
-117.24,34.15,26.0,2041.0,293.0,936.0,375.0,6.0,-0.057442430181283685,0.012738853503184714,-0.29128283862163085
-118.26,33.99,47.0,1865.0,465.0,1916.0,438.0,1.8242,-0.06341018766756032,0.02520107238605898,-0.2874175545408422
-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,-0.22966990291262135,0.05631067961165048,-0.2876225904633074
-121.31,38.02,24.0,4157.0,951.0,2734.0,879.0,2.7981,-0.029182102477748377,0.005773394274717345,-0.3134119198747012
-121.62,39.14,41.0,2183.0,559.0,1202.0,506.0,1.6902,-0.05571232249198351,0.018781493357764543,-0.3218220687386943
-122.69,38.51,18.0,3364.0,501.0,1442.0,506.0,6.6854,-0.03647146254458977,0.00535077288941736,-0.3138805118591572
-117.06,34.17,21.0,2520.0,582.0,416.0,151.0,2.7119999999999997,-0.04645238095238095,0.008333333333333333,-0.2919015889287545
-119.46,36.91,12.0,2980.0,495.0,1184.0,429.0,3.9141,-0.04008724832214765,0.004026845637583893,-0.3089737150510631
-117.96,33.83,30.0,2838.0,649.0,1758.0,593.0,3.3831,-0.04156448202959831,0.010570824524312896,-0.28679213292641575
-122.41,37.81,25.0,1178.0,545.0,592.0,441.0,3.6728,-0.10391341256366723,0.021222410865874362,-0.3088799934645863
-119.02,35.35,42.0,1239.0,251.0,776.0,272.0,1.983,-0.09606133979015334,0.03389830508474576,-0.2970089060662074
-117.72,34.05,8.0,1841.0,409.0,1243.0,394.0,4.0614,-0.06394350896252037,0.0043454644215100485,-0.28924566768603466
-118.15,34.2,46.0,1505.0,261.0,857.0,269.0,4.5,-0.07850498338870432,0.030564784053156147,-0.28946254760897167
-118.3,34.19,14.0,3615.0,913.0,1924.0,852.0,3.5083,-0.03272475795297372,0.003872752420470263,-0.289010989010989
-122.05,37.31,25.0,4111.0,538.0,1585.0,568.0,9.2298,-0.029688640233519824,0.006081245439065921,-0.3056943875460877
-120.66,35.49,17.0,4422.0,945.0,2307.0,885.0,2.8285,-0.02728629579375848,0.003844414292175486,-0.2941322725012432
-117.25,34.16,37.0,1709.0,278.0,744.0,274.0,3.7188,-0.06860737273259215,0.021650087770626096,-0.2913432835820895
-117.19,34.94,31.0,2034.0,444.0,1097.0,367.0,2.1522,-0.05761553588987217,0.015240904621435595,-0.29814830616946836
-117.06,33.02,24.0,830.0,190.0,279.0,196.0,1.9176,-0.14103614457831326,0.02891566265060241,-0.28207756705962755
-118.07,34.11,41.0,2869.0,563.0,1627.0,533.0,5.0736,-0.041153712094806554,0.014290693621470896,-0.28889641737952065
-118.24,33.96,44.0,1338.0,366.0,1765.0,388.0,1.7778,-0.08837070254110613,0.03288490284005979,-0.287212449255751
-118.28,33.91,41.0,620.0,133.0,642.0,162.0,2.6546,-0.1907741935483871,0.06612903225806452,-0.28669259384511325
-122.46,37.79,52.0,2059.0,416.0,999.0,402.0,3.7419,-0.05947547353084021,0.02525497814473045,-0.30859056018291686
