longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,-0.018363579959671163,0.004498216224600589,-0.28820001689331864
-117.86,33.77,39.0,4159.0,655.0,1669.0,651.0,4.6111,-0.028338542918970908,0.009377254147631643,-0.28652638723909724
-119.05,34.21,27.0,4357.0,926.0,2110.0,876.0,3.0119,-0.02732384668349782,0.006196924489327519,-0.2873582528349433
-118.15,34.2,52.0,1786.0,306.0,1018.0,322.0,4.1518,-0.06615341545352744,0.029115341545352745,-0.28946254760897167
-117.68,34.07,32.0,1775.0,314.0,1067.0,302.0,4.0375,-0.06629859154929578,0.018028169014084508,-0.28951393609789255
-121.8,38.68,11.0,3851.0,892.0,1847.0,747.0,3.4331,-0.03162814853284861,0.002856400934822124,-0.31756978653530377
-119.32,36.19,11.0,1281.0,291.0,861.0,313.0,1.0962,-0.09314597970335675,0.00858704137392662,-0.30330204492122026
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,-0.024128675745016776,0.005131241365699625,-0.30639620480942253
-117.24,34.13,26.0,3774.0,716.0,1913.0,620.0,3.3534,-0.03106518282988871,0.00688924218335983,-0.29111224837939276
-116.15,34.14,18.0,3312.0,705.0,1251.0,512.0,3.0139,-0.035069444444444445,0.005434782608695652,-0.29393026259147653
-118.84,34.16,18.0,6075.0,1056.0,2571.0,1018.0,5.22,-0.019562139917695474,0.002962962962962963,-0.28744530461124196
-122.27,40.46,14.0,2633.0,530.0,1324.0,513.0,2.2768,-0.04643752373718192,0.005317128750474744,-0.3309070090782694
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,-0.30683544303797466,0.06582278481012659,-0.311963696369637
-117.09,32.8,36.0,2163.0,367.0,915.0,360.0,4.7188,-0.054133148404993066,0.016643550624133148,-0.2801263984968827
-121.86,37.39,17.0,1777.0,328.0,1235.0,329.0,5.4225,-0.06857625211029826,0.009566685424873381,-0.3068275069752175
-121.42,37.75,33.0,1999.0,368.0,1061.0,390.0,3.5242,-0.06074037018509255,0.016508254127063533,-0.3109042991269972
-118.25,34.14,13.0,3487.0,1131.0,3749.0,1072.0,2.1602,-0.03391167192429022,0.003728133065672498,-0.28871035940803386
-118.46,33.99,52.0,1158.0,253.0,528.0,253.0,3.5234,-0.10229706390328151,0.044905008635578586,-0.28693229782204965
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,-0.016426881870043132,0.0023653819396131904,-0.2869727257326783
-118.39,34.04,52.0,1492.0,277.0,666.0,289.0,4.7386,-0.07934986595174262,0.03485254691689008,-0.2875242841456204
-117.64,33.62,16.0,3970.0,771.0,1202.0,734.0,3.4115,-0.029632241813602016,0.004030226700251889,-0.2857871472288337
-122.43,37.64,42.0,4091.0,757.0,1861.0,771.0,4.207,-0.029926668296260086,0.010266438523588365,-0.3074409866862697
-117.95,33.84,34.0,1229.0,215.0,1035.0,218.0,3.5455,-0.09597233523189586,0.027664768104149716,-0.28690122933446377
-124.18,40.78,33.0,1076.0,222.0,656.0,236.0,2.5096,-0.11540892193308551,0.03066914498141264,-0.328394266387502
-117.22,32.85,26.0,1647.0,261.0,694.0,259.0,4.6875,-0.07117182756527018,0.015786278081360048,-0.28024227947449243
-117.71,34.1,52.0,567.0,152.0,2688.0,126.0,1.875,-0.20760141093474427,0.09171075837742504,-0.28969501316795515
-122.42,37.75,52.0,2112.0,528.0,1227.0,513.0,3.5536,-0.057964015151515155,0.02462121212121212,-0.30836464629962423
-118.06,34.09,40.0,1975.0,389.0,1116.0,378.0,4.2898,-0.05977721518987342,0.020253164556962026,-0.2887514822971371
-118.32,34.09,44.0,2666.0,435.0,2297.0,726.0,1.676,-0.04438109527381845,0.016504126031507877,-0.2881169709263016
-120.39,38.0,33.0,2177.0,404.0,891.0,383.0,3.2119999999999997,-0.05530087276067983,0.01515847496554892,-0.31564083395630865
-117.97,33.77,25.0,1295.0,417.0,856.0,342.0,2.7157,-0.09109652509652509,0.019305019305019305,-0.2862592184453675
-122.41,37.71,28.0,5015.0,1240.0,3900.0,1029.0,1.2269,-0.02440877367896311,0.0055832502492522435,-0.30806306674291317
-118.29,34.08,43.0,3056.0,1345.0,3920.0,1304.0,1.925,-0.0387074607329843,0.01407068062827225,-0.288105503423789
-118.5,34.2,42.0,1558.0,322.0,884.0,334.0,2.2304,-0.07605905006418485,0.026957637997432605,-0.2886075949367089
-118.38,34.27,8.0,3248.0,847.0,2608.0,731.0,2.8214,-0.036447044334975365,0.0024630541871921183,-0.2894914681534043
-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,-0.049008032128514054,0.011244979919678716,-0.30615422437105627
-122.26,38.03,25.0,2239.0,361.0,928.0,353.0,4.4474,-0.05460473425636445,0.011165698972755694,-0.31105840013086866
-118.11,33.83,37.0,1249.0,202.0,517.0,189.0,4.4196,-0.09456365092073658,0.029623698959167333,-0.2864279061891457
-117.18,32.76,17.0,711.0,254.0,327.0,227.0,2.6493,-0.1648101265822785,0.02390998593530239,-0.27956989247311825
-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,-0.016780879864636212,0.002679075014100395,-0.2966977564910512
-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,-0.11275264677574591,0.009624639076034648,-0.2921041399914639
-122.82,38.39,32.0,1437.0,257.0,752.0,245.0,4.7422,-0.0854697286012526,0.022268615170494086,-0.3125712424686533
-118.45,33.99,45.0,1132.0,269.0,654.0,264.0,4.5673,-0.10463780918727915,0.03975265017667844,-0.28695652173913044
-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,-0.06400837257980115,0.024594453165881738,-0.31017004578155655
-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,-0.029369282619162253,0.004092441020702937,-0.30393442622950817
-117.9,33.85,31.0,3413.0,764.0,2326.0,728.0,4.325,-0.0345443891004981,0.009082918253735717,-0.2871077184054283
-118.99,35.3,33.0,2248.0,434.0,1461.0,405.0,2.9402,-0.05293149466192171,0.014679715302491103,-0.2966635851752248
-119.74,36.75,47.0,2236.0,418.0,1042.0,397.0,2.9545,-0.05355098389982111,0.02101967799642218,-0.306914982462001
-119.69,36.82,17.0,1897.0,433.0,1207.0,384.0,1.8021,-0.06309435951502372,0.008961518186610437,-0.30762803910101094
-122.27,37.56,17.0,3211.0,847.0,1553.0,812.0,4.9434,-0.03807848022422921,0.005294300840859545,-0.3071890079332625
-117.9,33.74,19.0,1566.0,379.0,1032.0,330.0,2.2105,-0.07528735632183908,0.012132822477650063,-0.2861747243426633
-119.33,36.89,15.0,1879.0,411.0,755.0,294.0,2.0,-0.06350718467269824,0.007982969664715274,-0.3091427134836169
-118.32,33.87,28.0,3763.0,762.0,1967.0,724.0,5.3244,-0.03144299760829126,0.007440871644964125,-0.28625760649087223
-117.21,32.86,26.0,1352.0,202.0,654.0,217.0,5.3693,-0.08669378698224851,0.019230769230769232,-0.28035150584421126
